UserID,LengthOfScreenName,LengthOfDescriptionInUserProfile,LifetimeAccountInMonth,NumberOfFollowings,NumberOfFollowers,NumberOfTweets,FollowingFollowerRatio,MeanTweetsPerDay,UrlInTweetsRate,UserMentionsRate,MeanTimeSecBetweenTweets,MaxTimeSecBetweenTweets,MeanNbMentionsPerTweet,MeanJaccardSimilarity,TypeOfUser
5775622,7,143,32,13782,13694,743,1.01,3.0,0.7,0.52,43436.0,555862.0,2.0,0.02,1
5884032,9,14,31,5223,5118,57,1.02,1.0,0.39,0.14,1467043.0,30100684.0,1.0,0.03,1
5925162,7,157,32,8054,8000,2983,1.01,10.0,1.0,0.0,8143.0,61437.0,0.0,0.03,1
5925682,9,36,31,16967,15424,11152,1.1,12.0,1.0,0.1,6624.0,104342.0,1.0,0.18,1
5971902,9,74,33,10937,11365,423,0.96,2.0,0.66,0.24,82449.0,723971.0,2.0,0.02,1
6002602,8,145,33,16593,15082,1224,1.1,4.0,0.97,0.03,31236.0,1124092.0,1.0,0.21,1
6087712,14,151,31,14379,13072,5757,1.1,12.0,0.94,0.26,6223.0,33029.0,2.0,0.06,1
6154322,7,144,31,2597,10097,7730,0.26,15.0,0.56,0.46,8259.0,312550.0,1.0,0.03,1
6267832,8,51,31,191,174,63,1.1,4.0,0.68,0.1,1344365.0,81807557.0,1.0,0.02,1
6332272,11,133,37,4302,5119,2870,0.84,17.0,0.12,0.68,4519.0,77690.0,1.0,0.04,1
6333392,11,15,32,9018,9111,2769,0.99,2.0,0.61,0.02,47153.0,309537.0,2.0,0.08,1
6356472,11,115,32,1869,1431,2176,1.31,20.0,0.36,0.76,6632.0,594435.0,2.0,0.03,1
6774442,12,156,31,339,150,53,2.26,1.0,0.15,0.3,861309.0,8455760.0,1.0,0.03,1
6859412,13,157,32,3512,4492,1072,0.78,3.0,0.27,0.52,28935.0,298687.0,1.0,0.05,1
6861662,12,104,31,3673,3567,1281,1.03,7.0,1.0,0.0,11552.0,57600.0,0.0,0.07,1
6871812,9,81,37,9072,16454,4164,0.55,11.0,0.62,0.89,7549.0,119554.0,1.0,0.04,1
6901952,6,0,31,949,82,6,11.57,2.0,0.0,0.0,14045248.0,84191778.0,0.0,0.04,1
6902602,8,68,31,462,127,11,3.64,1.0,0.55,0.0,7504437.0,62815352.0,0.0,0.04,1
7024522,5,48,31,1659,738,44,2.25,2.0,0.61,0.18,1026014.0,17264707.0,1.0,0.08,1
7082702,12,147,33,20300,20006,1640,1.01,2.0,0.31,0.57,81995.0,1096264.0,2.0,0.09,1
7087112,13,155,31,14368,23308,55415,0.62,12.0,0.72,0.41,9650.0,234906.0,1.0,0.02,1
7103212,8,54,35,858,811,589,1.06,4.0,0.58,0.39,25819.0,341780.0,1.0,0.05,1
7159492,6,19,31,1400,1147,3865,1.22,9.0,1.0,0.0,9050.0,53108.0,0.0,0.15,1
7251502,9,111,30,7207,8420,2672,0.86,14.0,0.43,0.55,5607.0,82909.0,1.0,0.04,1
7283562,13,156,30,20390,20677,755,0.99,2.0,0.63,0.12,100283.0,1205870.0,1.0,0.15,1
7350652,6,115,36,99778,97754,7574,1.02,22.0,0.43,0.25,3634.0,40623.0,2.0,0.02,1
7361162,13,85,30,392,102,81,3.84,3.0,0.69,0.28,1017042.0,52086277.0,1.0,0.04,1
7400262,13,155,29,3051,3534,818,0.86,3.0,0.45,0.71,75935.0,1045086.0,1.0,0.05,1
7540482,8,16,31,12313,12244,16421,1.01,12.0,0.17,0.46,7652.0,184592.0,1.0,0.04,1
7545332,8,58,34,3374,3164,2001,1.07,5.0,0.8,0.04,18300.0,95571.0,1.0,0.08,1
7601182,7,50,29,1053,491,456,2.14,1.0,0.02,0.0,99697.0,758237.0,1.0,0.04,1
7721172,11,160,31,2245,2246,4121,1.0,4.0,0.42,0.63,22048.0,176129.0,1.0,0.04,1
7831092,8,92,30,17866,16330,918,1.09,4.0,0.58,0.71,23397.0,168349.0,1.0,0.11,1
7891352,12,153,29,11325,11076,3299,1.02,6.0,0.78,0.19,12901.0,50319.0,1.0,0.04,1
7891802,8,135,30,903,908,91,0.99,1.0,0.43,0.29,630455.0,5253472.0,1.0,0.05,1
7934702,15,156,34,876,511,2122,1.71,22.0,0.18,0.59,3657.0,68765.0,1.0,0.06,1
7946942,5,14,31,1830,1623,1228,1.13,7.0,0.02,0.0,11777.0,31604.0,0.0,0.14,1
7950312,15,38,33,4447,4048,1177,1.1,3.0,0.74,0.31,61248.0,1082002.0,1.0,0.1,1
7957772,7,47,29,33928,31295,22928,1.08,10.0,1.0,0.08,8288.0,97152.0,1.0,0.1,1
7967132,10,66,28,1879,1768,1470,1.06,33.0,0.98,0.01,2329.0,33828.0,1.0,0.12,1
7977182,8,123,31,7704,7027,1790,1.1,5.0,0.61,0.58,23873.0,432005.0,2.0,0.1,1
8014432,8,43,30,688,551,484,1.25,3.0,0.89,0.46,50868.0,591269.0,1.0,0.08,1
8014472,7,62,30,1837,1829,625,1.0,2.0,0.86,0.66,118200.0,1766734.0,1.0,0.03,1
8066562,11,36,31,660,7210,2524,0.09,3.0,0.54,0.39,81231.0,2017582.0,1.0,0.03,1
8180582,10,40,29,1944,744,224,2.61,2.0,0.95,0.02,134687.0,4139928.0,1.0,0.09,1
8205942,15,139,32,1065,791,886,1.35,5.0,0.5,0.76,24069.0,417813.0,2.0,0.04,1
8208482,7,31,33,705,206,121,3.42,2.0,0.45,0.11,741974.0,49473644.0,1.0,0.17,1
8245052,15,139,29,1777,901,1152,1.97,5.0,0.31,0.48,21515.0,261228.0,1.0,0.04,1
8293982,8,92,35,1444,1092,1806,1.32,3.0,0.34,0.38,47075.0,602941.0,1.0,0.04,1
8377772,15,98,28,10293,9794,1906,1.05,3.0,0.26,0.52,48848.0,651566.0,1.0,0.03,1
8431212,10,58,29,2001,889,91,2.25,8.0,0.25,0.69,23099.0,1145713.0,1.0,0.06,1
8440552,11,36,28,5986,7160,376,0.84,2.0,0.57,0.41,112204.0,1342901.0,1.0,0.03,1
8571252,12,115,32,3644,3312,3330,1.1,11.0,0.93,0.25,7437.0,69124.0,2.0,0.21,1
8614702,9,61,28,1772,819,95,2.16,3.0,0.04,0.47,770270.0,42081249.0,1.0,0.04,1
8729092,10,75,28,3549,3225,1688,1.1,4.0,0.76,0.2,34984.0,428729.0,1.0,0.04,1
8773632,6,15,33,16613,17094,1427,0.97,7.0,0.13,0.08,11930.0,84242.0,1.0,0.04,1
8833312,13,145,31,10691,13605,5243,0.79,27.0,0.14,0.62,2836.0,52179.0,1.0,0.03,1
8865022,14,18,28,1917,1052,1106,1.82,5.0,1.0,0.0,17222.0,204190.0,1.0,0.04,1
8894582,11,73,28,805,705,752,1.14,2.0,0.71,0.36,179751.0,8787766.0,1.0,0.06,1
9028902,15,20,33,146,64,6,2.28,2.0,0.5,0.0,163410.0,784211.0,0.0,0.2,1
9045162,7,128,27,6757,6784,4213,1.0,9.0,0.49,0.04,12490.0,405162.0,1.0,0.03,1
9082652,12,61,28,21041,23332,2602,0.9,4.0,0.51,0.37,26551.0,195632.0,1.0,0.05,1
9126092,8,156,30,1749,1006,16381,1.74,98.0,0.04,0.6,498.0,23506.0,1.0,0.05,1
9222382,7,109,31,1896,1159,99,1.64,2.0,0.38,0.59,223492.0,7461404.0,2.0,0.07,1
9237672,7,29,29,589,422,966,1.4,2.0,0.94,0.05,68946.0,961378.0,1.0,0.15,1
9256422,11,151,30,20255,19726,4439,1.03,6.0,0.15,0.7,19016.0,610131.0,1.0,0.04,1
9283632,13,71,29,10270,9517,11857,1.08,11.0,0.72,0.34,7551.0,86812.0,1.0,0.04,1
9285422,12,71,31,875,740,1382,1.18,4.0,0.93,0.18,26785.0,272205.0,1.0,0.03,1
9337172,6,38,30,5835,5420,9,1.08,2.0,0.89,0.33,1074790.0,5087806.0,1.0,0.04,1
9337212,14,14,27,2547,2694,3,0.95,1.0,1.0,0.33,140746.0,243537.0,1.0,0.0,1
9376622,7,149,28,9762,8874,5213,1.1,6.0,0.67,0.95,19719.0,267129.0,1.0,0.09,1
9502542,7,158,27,8189,7444,26752,1.1,12.0,0.37,0.67,10028.0,311826.0,7.0,0.1,1
9520902,13,27,28,2852,2794,3111,1.02,22.0,0.14,0.9,7715.0,249898.0,1.0,0.03,1
9545532,11,79,26,3529,3312,7749,1.07,25.0,0.03,0.77,3018.0,61596.0,1.0,0.05,1
9571962,9,60,28,1999,945,52,2.12,2.0,0.35,0.35,1489111.0,37893015.0,1.0,0.03,1
9596392,9,48,27,1805,1732,1080,1.04,3.0,0.97,0.43,73327.0,651644.0,1.0,0.04,1
9633112,6,64,27,1121,561,284,2.0,2.0,0.94,0.01,119281.0,954621.0,1.0,0.08,1
9666402,8,15,31,897,761,1204,1.18,3.0,0.2,0.44,127114.0,2592122.0,1.0,0.08,1
9751642,6,129,26,11631,11326,2729,1.03,9.0,0.66,0.73,9795.0,61824.0,1.0,0.04,1
9767082,9,34,32,1963,1941,941,1.01,2.0,0.97,0.05,50444.0,356958.0,1.0,0.1,1
9783422,11,35,27,854,868,813,0.98,3.0,0.94,0.72,28952.0,126171.0,1.0,0.04,1
9814222,6,78,26,2414,2887,709,0.84,4.0,0.64,0.29,36050.0,584542.0,1.0,0.08,1
9819072,6,39,26,22121,24910,1154,0.89,12.0,0.18,0.77,11575.0,589417.0,1.0,0.04,1
9836582,14,65,27,68782,69108,64812,1.0,66.0,0.21,0.93,1160.0,40935.0,1.0,0.04,1
9922242,8,83,26,2072,4283,3490,0.48,7.0,0.19,0.62,13077.0,116039.0,1.0,0.04,1
9934462,7,55,32,1389,2594,5225,0.54,5.0,0.84,0.3,20472.0,284463.0,1.0,0.02,1
10046572,7,51,26,3800,3604,17084,1.05,18.0,1.0,0.0,4086.0,59692.0,0.0,0.1,1
10105822,13,108,26,5352,4938,4015,1.08,18.0,1.0,0.01,4380.0,47235.0,1.0,0.02,1
10193122,9,106,27,13002,12073,3791,1.08,3.0,0.68,0.36,36051.0,427951.0,1.0,0.02,1
10197782,5,152,25,5644,6444,15559,0.88,28.0,0.14,0.56,2810.0,51677.0,1.0,0.04,1
10278192,14,0,28,797,387,50,2.06,12.0,0.9,0.0,1483709.0,73945880.0,0.0,0.05,1
10336042,11,156,29,22456,20471,22263,1.1,25.0,0.04,0.67,3008.0,85304.0,1.0,0.21,1
10433782,8,107,29,1326,3185,26308,0.42,33.0,0.99,0.02,2446.0,22214.0,1.0,0.04,1
10492902,9,147,25,4748,4589,3890,1.03,12.0,0.89,0.1,6783.0,57592.0,1.0,0.04,1
10500072,12,159,27,12335,11226,9192,1.1,15.0,0.12,0.76,4967.0,71626.0,1.0,0.03,1
10667662,7,86,25,53675,58173,2311,0.92,3.0,0.98,0.04,28593.0,178508.0,1.0,0.12,1
10697222,12,157,30,2292,5081,3265,0.45,10.0,0.69,0.27,8386.0,76500.0,1.0,0.06,1
10736862,10,64,30,7282,6620,1025,1.1,4.0,0.42,0.39,31520.0,336575.0,1.0,0.04,1
10746692,15,0,25,986,407,49,2.42,3.0,0.39,0.0,1500504.0,43595789.0,0.0,0.03,1
10778972,8,58,29,1716,688,7489,2.49,17.0,0.15,0.22,4309.0,51491.0,1.0,0.05,1
10779802,6,146,27,19802,19928,16219,0.99,40.0,1.0,0.0,1810.0,10939.0,0.0,0.03,1
10793242,8,24,25,5453,5992,1406,0.91,3.0,0.1,0.43,105008.0,1812547.0,1.0,0.02,1
10845372,8,159,27,3650,3328,4641,1.1,20.0,1.0,0.0,3582.0,14389.0,0.0,0.09,1
10870512,6,117,24,3426,3116,7,1.1,1.0,0.43,0.0,8224331.0,24336872.0,0.0,0.01,1
10987282,5,27,28,12453,11320,19489,1.1,100.0,1.0,0.0,282.0,3517.0,0.0,0.16,1
11009092,8,158,25,1926,1414,3100,1.36,13.0,0.98,0.02,6256.0,29032.0,1.0,0.03,1
11015372,14,139,30,504,222,1592,2.27,2.0,0.64,0.24,58520.0,625507.0,1.0,0.03,1
11041822,12,62,24,15899,15673,2122,1.01,10.0,0.94,0.05,10582.0,359161.0,2.0,0.16,1
11073902,8,135,27,5661,8850,3280,0.64,5.0,0.55,0.67,27775.0,474355.0,1.0,0.05,1
11228722,6,0,25,1894,1302,87,1.45,4.0,0.98,0.08,284234.0,8906177.0,1.0,0.05,1
11294262,7,6,26,3105,2852,190,1.09,2.0,0.56,0.3,353304.0,28603183.0,1.0,0.05,1
11305742,15,59,24,4529,4674,2320,0.97,16.0,0.96,0.04,4785.0,29122.0,1.0,0.02,1
11341332,11,61,24,20436,20866,603,0.98,4.0,0.9,0.16,39819.0,927421.0,1.0,0.03,1
11403052,6,0,29,16,7,4,2.29,1.0,1.0,0.75,99216.0,135362.0,1.0,0.02,1
11403462,8,93,25,12486,12952,823,0.96,3.0,0.35,0.41,31107.0,109330.0,1.0,0.03,1
11410012,9,134,27,12294,11957,20704,1.03,67.0,0.56,0.0,532.0,5363.0,0.0,0.03,1
11422132,12,16,28,2394,8493,3082,0.28,13.0,0.12,0.45,6250.0,62361.0,1.0,0.04,1
11488822,9,58,31,167,92,130,1.82,2.0,0.46,0.26,611604.0,17282892.0,1.0,0.05,1
11525652,8,160,26,1985,258,88,7.69,1.0,0.99,0.0,799412.0,52449529.0,0.0,0.03,1
11547732,13,153,25,1765,629,24,2.81,2.0,0.71,0.29,447700.0,2328602.0,1.0,0.07,1
11605832,15,103,27,4020,4373,2415,0.92,5.0,0.96,0.0,16588.0,109236.0,1.0,0.06,1
11637322,12,39,25,4283,10615,85,0.4,2.0,0.52,0.21,832652.0,22231466.0,1.0,0.04,1
11662532,7,64,26,17778,17682,8583,1.01,3.0,1.0,0.08,26488.0,211285.0,1.0,0.08,1
11721472,15,66,24,1973,1188,572,1.66,8.0,0.17,0.32,12553.0,294761.0,1.0,0.17,1
11749762,12,148,25,666,618,1297,1.08,50.0,0.8,0.0,1481.0,38730.0,0.0,0.01,1
11756702,8,71,27,14099,12844,32,1.1,3.0,0.28,0.28,2279212.0,36874887.0,1.0,0.07,1
11778632,13,159,25,2523,2293,19590,1.1,25.0,0.14,0.45,3221.0,50940.0,1.0,0.05,1
11786162,7,0,26,1614,715,801,2.26,4.0,1.0,0.01,114582.0,15568471.0,1.0,0.23,1
11862162,8,32,30,1328,509,1249,2.61,3.0,0.31,0.55,43756.0,253938.0,1.0,0.03,1
11879272,9,160,24,34252,39345,2267,0.87,8.0,0.32,0.69,11087.0,121606.0,1.0,0.05,1
11908322,7,0,24,668,708,1196,0.94,6.0,0.96,0.05,14313.0,183583.0,1.0,0.01,1
11920772,8,126,29,693,2553,17525,0.27,40.0,1.0,0.0,1745.0,40042.0,1.0,0.08,1
11929882,7,86,27,195,56,164,3.48,1.0,0.46,0.11,447653.0,38160007.0,1.0,0.05,1
11996952,11,26,24,712,5828,97,0.12,1.0,0.65,0.11,386038.0,8069791.0,1.0,0.04,1
12022042,12,37,24,1700,2011,5040,0.85,9.0,1.0,0.0,9426.0,159676.0,0.0,0.03,1
12031352,10,105,25,2001,917,260,2.18,4.0,0.44,0.06,140126.0,11528510.0,1.0,0.06,1
12037882,8,147,25,18786,17558,14260,1.07,8.0,0.41,0.61,12102.0,394499.0,2.0,0.1,1
12085042,12,13,29,19963,19857,779,1.01,4.0,0.16,0.62,178256.0,17504769.0,1.0,0.09,1
12198062,9,107,28,213,108,102,1.97,2.0,1.0,0.87,735091.0,39101247.0,1.0,0.07,1
12317562,7,59,23,240,626,2657,0.38,8.0,0.18,0.47,12263.0,219520.0,1.0,0.03,1
12357122,8,74,23,4249,4116,2364,1.03,5.0,0.41,0.2,24432.0,416806.0,2.0,0.01,1
12441712,8,55,24,30922,30271,2174,1.02,3.0,0.31,0.52,47901.0,424686.0,2.0,0.03,1
12447572,8,154,26,11449,10413,507,1.1,2.0,0.59,0.41,120510.0,691782.0,3.0,0.03,1
12449542,14,53,27,1774,8155,79,0.22,2.0,0.32,0.03,925950.0,49844955.0,1.0,0.08,1
12465192,9,114,24,597,597,850,1.0,3.0,0.99,0.02,45675.0,888118.0,1.0,0.18,1
12470242,5,56,25,6228,6229,449,1.0,3.0,0.34,0.46,79394.0,1301098.0,1.0,0.08,1
12511062,13,159,24,1980,1801,812,1.1,3.0,0.34,0.34,36150.0,240869.0,1.0,0.06,1
12516722,9,157,24,13181,14242,4042,0.93,16.0,0.39,0.63,5026.0,86144.0,1.0,0.04,1
12524522,7,156,24,14706,17533,2400,0.84,4.0,0.46,0.29,25584.0,334588.0,1.0,0.04,1
12552662,15,58,23,1859,1507,206,1.23,2.0,0.5,0.2,251815.0,9137694.0,1.0,0.08,1
12570402,8,21,29,38995,38985,30342,1.0,67.0,1.0,0.0,730.0,4577.0,1.0,0.02,1
12604592,13,131,23,8954,8820,197,1.02,2.0,0.83,0.14,317537.0,16166421.0,1.0,0.07,1
12611082,11,66,27,10365,9556,1100,1.08,3.0,0.9,0.04,69915.0,1041070.0,1.0,0.04,1
12614402,14,96,23,1095,419,21,2.61,2.0,0.33,0.24,2943809.0,41066481.0,1.0,0.03,1
12691382,9,95,24,16463,15311,570,1.08,5.0,0.85,0.05,77608.0,7235840.0,2.0,0.05,1
12720232,9,49,26,33024,31810,6994,1.04,25.0,1.0,0.02,2923.0,19087.0,1.0,0.14,1
12728672,12,102,23,24066,21988,706,1.09,3.0,0.42,0.02,76929.0,5399408.0,16.0,0.07,1
12738932,11,139,26,6513,6760,5823,0.96,5.0,0.57,0.5,22825.0,434475.0,6.0,0.11,1
12755642,13,51,25,914,1098,184,0.83,2.0,0.13,0.48,163693.0,9078396.0,1.0,0.04,1
12757982,15,72,30,1102,471,800,2.34,3.0,0.65,0.29,32439.0,333550.0,1.0,0.09,1
12767492,11,136,23,4072,3827,684,1.06,5.0,0.1,0.72,24676.0,755723.0,1.0,0.05,1
12811112,12,27,24,1989,501,2704,3.97,100.0,1.0,0.0,747.0,15382.0,0.0,0.02,1
12822322,11,51,23,2001,1716,3041,1.17,10.0,0.9,0.04,9712.0,264810.0,1.0,0.22,1
12891732,14,95,28,1765,1627,324,1.08,12.0,0.98,0.0,6575.0,69204.0,0.0,0.12,1
12930392,12,110,24,8273,8145,2316,1.02,6.0,0.7,0.26,14443.0,229501.0,1.0,0.02,1
12992802,6,64,29,19808,18917,490,1.05,2.0,0.37,0.34,167617.0,2847964.0,1.0,0.1,1
12993022,12,159,27,9185,11521,6002,0.8,40.0,0.21,0.46,1568.0,36705.0,1.0,0.08,1
13027572,11,91,23,13665,14771,3677,0.93,6.0,0.93,0.29,14957.0,127203.0,1.0,0.03,1
13076522,12,86,23,5839,5316,5129,1.1,33.0,1.0,0.0,2106.0,20371.0,0.0,0.02,1
13117172,15,147,25,9661,9161,769,1.05,2.0,0.52,0.05,82133.0,949398.0,1.0,0.32,1
13122832,7,56,23,9703,8901,744,1.09,4.0,0.18,0.59,39364.0,846315.0,1.0,0.05,1
13203082,7,0,24,9281,8456,8429,1.1,28.0,1.0,0.01,2646.0,46682.0,1.0,0.02,1
13225732,11,34,23,8941,8972,1296,1.0,4.0,0.39,0.68,26406.0,340942.0,1.0,0.02,1
13247052,7,158,23,8452,8693,13824,0.97,17.0,0.27,0.48,7261.0,485505.0,1.0,0.04,1
13267042,13,91,23,4681,4255,96,1.1,2.0,0.92,0.02,259057.0,3651963.0,1.0,0.06,1
13372502,7,156,26,8947,9740,6779,0.92,7.0,0.3,0.56,12395.0,241148.0,1.0,0.04,1
13372592,12,63,26,2001,1284,91,1.56,2.0,0.52,0.08,762966.0,22460738.0,1.0,0.09,1
13421862,13,53,23,2088,2186,1146,0.96,5.0,1.0,0.0,43133.0,579802.0,0.0,0.07,1
13430962,7,21,22,4299,3921,1115,1.1,22.0,1.0,0.0,3412.0,10858.0,0.0,0.05,1
13458112,10,38,25,7841,8724,1072,0.9,2.0,0.72,0.3,63046.0,1813728.0,1.0,0.03,1
13492762,12,136,27,16652,15138,6688,1.1,4.0,0.6,0.61,96357.0,1467002.0,1.0,0.13,1
13545202,7,86,29,1089,1719,6139,0.63,9.0,1.0,0.0,9519.0,90239.0,0.0,0.22,1
13571462,7,73,23,18740,17651,1462,1.06,6.0,0.46,0.25,27262.0,1044017.0,3.0,0.1,1
13593132,10,58,23,5042,5756,4516,0.88,4.0,0.02,0.53,67072.0,2169375.0,2.0,0.05,1
13596992,12,145,22,518,332,293,1.56,4.0,0.26,0.64,129894.0,3628741.0,1.0,0.05,1
13601052,7,143,28,1197,1067,2808,1.12,8.0,0.53,0.41,9920.0,92854.0,1.0,0.04,1
13639262,7,57,23,7295,7710,1981,0.95,10.0,0.26,0.47,8898.0,101094.0,1.0,0.06,1
13642652,6,79,22,5091,13075,578,0.39,2.0,0.74,0.28,51483.0,507595.0,1.0,0.03,1
13688802,12,56,22,18801,20048,82,0.94,1.0,0.62,0.02,530797.0,11782436.0,1.0,0.09,1
13694202,9,0,27,1212,268,456,4.52,4.0,0.34,0.15,23862.0,350094.0,1.0,0.05,1
13728412,6,66,25,3846,3716,3557,1.03,12.0,1.0,0.0,7207.0,154989.0,0.0,0.03,1
13788342,14,102,24,15181,15858,4966,0.96,10.0,0.62,0.56,8144.0,146244.0,2.0,0.03,1
13796572,4,76,27,16114,68016,875,0.24,5.0,0.77,0.18,21592.0,255899.0,1.0,0.05,1
13808342,10,47,28,11689,11503,1272,1.02,2.0,0.96,0.1,68915.0,837346.0,1.0,0.03,1
13831152,10,50,25,2518,3515,765,0.72,4.0,0.32,0.8,36626.0,352123.0,1.0,0.05,1
13852942,10,80,27,11160,10398,1466,1.07,3.0,0.52,0.11,33217.0,105611.0,1.0,0.02,1
13893342,8,45,23,10684,10890,3275,0.98,6.0,0.12,0.7,43137.0,946111.0,1.0,0.04,1
13898062,6,40,22,528,645,6340,0.82,6.0,0.02,0.1,40565.0,1172060.0,1.0,0.02,1
14024532,14,21,23,1420,622,670,2.28,4.0,1.0,0.0,39454.0,1899848.0,1.0,0.05,1
14025402,10,57,27,5018,4665,2304,1.08,6.0,0.41,0.61,18812.0,246186.0,1.0,0.03,1
14057903,12,157,22,23344,22389,3237,1.04,4.0,0.92,0.11,26858.0,294204.0,1.0,0.09,1
14065888,13,134,26,5204,4837,8069,1.08,23.0,0.07,0.83,16906.0,787337.0,1.0,0.02,1
14079004,10,66,24,3040,2933,3274,1.04,4.0,0.43,0.35,30121.0,252280.0,1.0,0.07,1
14087461,14,119,21,12240,12123,1785,1.01,6.0,1.0,0.03,13957.0,250649.0,1.0,0.03,1
14088485,13,102,22,21435,19506,13484,1.1,40.0,0.99,0.01,1698.0,53409.0,1.0,0.06,1
14095473,10,85,28,1922,967,3130,1.99,6.0,0.7,0.14,16095.0,183234.0,1.0,0.04,1
14099861,11,68,25,209,77,49,2.71,2.0,0.27,0.47,676308.0,12068093.0,1.0,0.08,1
14100363,13,50,22,2781,2540,1386,1.09,20.0,0.03,0.0,3918.0,4846.0,1.0,0.08,1
14106080,7,160,22,1921,3207,2642,0.6,7.0,0.4,0.34,11102.0,83354.0,2.0,0.02,1
14106277,10,46,22,511,655,247,0.78,4.0,0.6,0.5,56236.0,858573.0,1.0,0.05,1
14117843,15,159,25,3093,6335,950,0.49,6.0,0.44,0.62,21226.0,401198.0,2.0,0.07,1
